茻	U+833B
𬫾	U+2CAFE
奚	U+595A
䫣	U+4AE3
𮢲	U+2E8B2
𪓷	U+2A4F7
㰿	U+3C3F
𠓱	U+204F1
𥡙	U+25859
𨨕	U+28A15
雞	U+96DE
鐖	U+9416
鷄	U+9DC4
潁	U+6F41
顈	U+9848
䥀	U+4940
𩑝	U+2945D
𤝏	U+2474F
𩚳	U+296B3
𤡙	U+24859
𩝴	U+29774
𨦃	U+28983
鐑	U+9411
𤠥	U+24825
𭸉	U+2DE09
𡊂	U+21282
㹺	U+3E7A
𬏏	U+2C3CF
錔	U+9314
𫒯	U+2B4AF
𪺙	U+2AE99
㺈	U+3E88
𤠧	U+24827
𩝚	U+2975A
颍	U+988D
犸	U+72B8
𤟣	U+247E3
𫒾	U+2B4BE
釢	U+91E2
𤜠	U+24720
𪻅	U+2AEC5
𤠔	U+2F927
𰠉	U+30809
飴	U+98F4
鈶	U+9236
𬫠	U+2CAE0
𠤘	U+20918
𨧚	U+289DA
鉾	U+927E
𦫬	U+26AEC
𨥡	U+28961
𩜆	U+29706
𤬇	U+24B07
𢞪	U+227AA
淾	U+6DFE
𫒎	U+2B48E
𤕂	U+24542
𠄂	U+20102
胤	U+80E4
鏘	U+93D8
㺑	U+3E91
𤝎	U+2474E
𬌷	U+2C337
汆	U+6C46
𩞀	U+29780
鋗	U+2F9E8
𬲖	U+2CC96
鋑	U+92D1
𫓙	U+2B4D9
𬋸	U+2C2F8
䤛	U+491B
𨥥	U+28965
𠃕	U+200D5
𨪫	U+28AAB
谿	U+8C3F
𤜟	U+2471F
𫛖	U+2B6D6
鏒	U+93D2
饑	U+9951
銯	U+92AF
鈗	U+9217
狁	U+72C1
狻	U+72FB
𤠗	U+24817
餕	U+9915
𨮳	U+28BB3
䝜	U+475C
𦫑	U+26AD1
𤕀	U+24540
𤜯	U+2472F
𩞼	U+297BC
鈒	U+9212
𧲫	U+27CAB
迎	U+8FCE
𫃛	U+2B0DB
𩛓	U+296D3
比	U+6BD4
⽐	U+2F50
猻	U+733B
𤜿	U+2473F
𤞁	U+24781
𤞍	U+2478D
𤟘	U+247D8
𤠀	U+24800
録	U+9332
𩛾	U+296FE
𧳙	U+27CD9
𨛰	U+286F0
𬋨	U+2C2E8
𩓞	U+294DE
𭸐	U+2DE10
𭸠	U+2DE20
䭈	U+4B48
爭	U+722D
郛	U+90DB
𫐭	U+2B42D
㐠	U+3420
𡮈	U+21B88
𤭤	U+24B64
㔜	U+351C
𥇽	U+251FD
𬌢	U+2C322
犼	U+72BC
狲	U+72F2
𤜛	U+2471B
𰅒	U+30152
乳	U+4E73
𮣎	U+2E8CE
𪨁	U+2AA01
𫒶	U+2B4B6
𰼬	U+30F2C
𤓴	U+244F4
釶	U+91F6
𰁑	U+30051
錒	U+9312
𤜢	U+24722
𤜣	U+24723
𩚉	U+29689
鍵	U+9375
𰼴	U+30F34
𤜾	U+2473E
𤝽	U+2477D
銉	U+9289
貄	U+8C84
𮢱	U+2E8B1
銀	U+9280
𪺗	U+2AE97
𠄀	U+20100
鉰	U+9270
狠	U+72E0
𤠴	U+24834
䬶	U+4B36
𨥂	U+28942
𨮌	U+28B8C
𩓖	U+294D6
貇	U+8C87
𥖞	U+2559E
𪜛	U+2A71B
釔	U+91D4
㐍	U+340D
猱	U+7331
㐈	U+3408
𤓸	U+244F8
𨬍	U+28B0D
𩜷	U+29737
鍒	U+9352
𧳨	U+27CE8
𡍭	U+2136D
墾	U+58BE
𠄉	U+20109
𡦢	U+219A2
𤱚	U+24C5A
釕	U+91D5
𧇧	U+271E7
𤠏	U+2480F
𪙈	U+2A648
𮢦	U+2E8A6
𧳺	U+27CFA
𱌦	U+31326
𤔃	U+24503
𨥨	U+28968
錳	U+9333
猛	U+731B
𤝩	U+24769
𭸒	U+2DE12
𩟝	U+297DD
𭾒	U+2DF92
𧠾	U+2783E
𨨃	U+28A03
鐞	U+941E
獝	U+735D
飼	U+98FC
飼	U+FA2B
𨮉	U+28B89
𨧯	U+289EF
𢆡	U+221A1
𨧡	U+289E1
𨩺	U+28A7A
𰕊	U+3054A
㺖	U+3E96
䭛	U+4B5B
𨥠	U+28960
鋟	U+92DF
𨧪	U+289EA
𤡘	U+24858
𬅦	U+2C166
㲗	U+3C97
𬲡	U+2CCA1
𢚩	U+226A9
𢣰	U+228F0
𭞀	U+2D780
懇	U+61C7
𭢩	U+2D8A9
𭴮	U+2DD2E
𨨂	U+28A02
𬬗	U+2CB17
𱉺	U+3127A
𤟠	U+247E0
𤡪	U+2486A
鐊	U+940A
𢒒	U+22492
𩝔	U+29754
𩞢	U+297A2
𮡦	U+2E866
𨯝	U+28BDD
鏽	U+93FD
𪺓	U+2AE93
鐍	U+940D
𩚒	U+29692
𤓽	U+244FD
𰼠	U+30F20
𨿚	U+28FDA
𠀈	U+20008
𪺍	U+2AE8D
𢅁	U+22141
䳕	U+4CD5
𪇩	U+2A1E9
犯	U+72AF
𬋲	U+2C2F2
𨙪	U+2866A
𫒉	U+2B489
𨚍	U+2868D
𭯏	U+2DBCF
嗠	U+55E0
𠄇	U+20107
𤜡	U+24721
𤡚	U+2485A
𩞊	U+2978A
𨫭	U+28AED
𬫬	U+2CAEC
䤴	U+4934
𬌴	U+2C334
䥙	U+4959
𬫟	U+2CADF
𨥤	U+28964
𭓜	U+2D4DC
𤝉	U+24749
孚	U+5B5A
釨	U+91E8
𡕕	U+21555
𤜭	U+2472D
𤢩	U+248A9
䭀	U+4B40
𨗿	U+285FF
𨘅	U+28605
𩛼	U+296FC
𮡪	U+2E86A
𭀿	U+2D03F
𬫓	U+2CAD3
𮡷	U+2E877
獵	U+7375
𤢪	U+248AA
𭸥	U+2DE25
獵	U+F9A7
𪺹	U+2AEB9
𩛂	U+296C2
𩝹	U+29779
鏆	U+93C6
𫑞	U+2B45E
𰼨	U+30F28
𰃘	U+300D8
𩟦	U+297E6
錄	U+9304
錄	U+F93F
鍿	U+937F
猭	U+732D
餯	U+992F
䤸	U+4938
𮣍	U+2E8CD
𧳩	U+27CE9
𫓢	U+2B4E2
㺐	U+3E90
𬲞	U+2CC9E
𨨓	U+28A13
𰽄	U+30F44
鏁	U+93C1
𭸖	U+2DE16
𩜊	U+2970A
錙	U+9319
务	U+52A1
釛	U+91DB
𠛴	U+206F4
𢼻	U+22F3B
𤜜	U+2471C
𧲡	U+27CA1
鉧	U+9267
𤝕	U+24755
𤝾	U+2477E
𥃃	U+250C3
𩛋	U+296CB
𧳀	U+27CC0
鎻	U+93BB
𨪮	U+28AAE
𮩗	U+2EA57
㹢	U+3E62
鉫	U+926B
銣	U+92A3
𨦒	U+28992
𨩠	U+28A60
𩚙	U+29699
鈔	U+9214
𨨚	U+28A1A
𩗔	U+295D4
𬼏	U+2CF0F
㼏	U+3F0F
㤀	U+3900
𨧛	U+289DB
𱉻	U+3127B
㺒	U+3E92
匘	U+5318
㺁	U+3E81
㺟	U+3E9F
鑃	U+9443
𨫠	U+28AE0
𧳦	U+27CE6
釓	U+91D3
𬼗	U+2CF17
𨫧	U+28AE7
𫓚	U+2B4DA
𪟨	U+2A7E8
鵎	U+9D4E
𰡥	U+30865
兦	U+5166
鏐	U+93D0
䬮	U+4B2E
𩚂	U+29682
𨮅	U+28B85
𧲠	U+27CA0
妥	U+59A5
釹	U+91F9
𫒈	U+2B488
𡛗	U+216D7
𤕇	U+24547
𩚔	U+29694
鉯	U+926F
乐	U+4E50
釥	U+91E5
𡭗	U+21B57
𨦫	U+289AB
鑞	U+945E
𨧱	U+289F1
𤔔	U+24514
𨥺	U+2897A
𫒷	U+2B4B7
𨬯	U+28B2F
𤟎	U+247CE
𨧵	U+289F5
鈀	U+9200
𨬖	U+28B16
𤔍	U+2450D
鋦	U+92E6
𤜱	U+24731
𩚥	U+296A5
𧲧	U+27CA7
𥂽	U+250BD
猕	U+7315
𬌼	U+2C33C
𩜳	U+29733
釖	U+91D6
亂	U+4E82
亂	U+F91B
錣	U+9323
鍜	U+935C
鎟	U+939F
𤳞	U+24CDE
𢿢	U+22FE2
覶	U+89B6
𤓿	U+244FF
𤔂	U+24502
𨥖	U+28956
𨦏	U+2898F
𬋥	U+2C2E5
𮡭	U+2E86D
𮢀	U+2E880
𢿳	U+22FF3
猳	U+7333
鏺	U+93FA
𭯁	U+2DBC1
餟	U+991F
䬢	U+4B22
鈻	U+923B
𡕽	U+2157D
𡖀	U+21580
𤔿	U+2453F
𨪤	U+28AA4
辭	U+8FAD
貑	U+8C91
𤔧	U+24527
狃	U+72C3
𨩷	U+28A77
𩚖	U+29696
𩟫	U+297EB
鈕	U+9215
鍲	U+9372
猤	U+7324
鈱	U+9231
𤝢	U+24762
𬌭	U+2C32D
鍨	U+9368
𬬢	U+2CB22
𡭒	U+21B52
𤔲	U+24532
𤔺	U+2453A
𨩸	U+28A78
𨫀	U+28AC0
𩝁	U+29741
鐉	U+9409
𤝺	U+2477A
𤞎	U+2478E
𩛐	U+296D0
𨥈	U+28948
𬬠	U+2CB20
鋸	U+92F8
𢿮	U+22FEE
獼	U+737C
㹩	U+3E69
𢤹	U+22939
𤔊	U+2450A
𫒔	U+2B494
𨫒	U+28AD2
𧲵	U+27CB5
𮢛	U+2E89B
𨥻	U+2897B
𫓎	U+2B4CE
𤕌	U+2454C
𤴋	U+24D0B
𤴎	U+24D0E
𨧙	U+289D9
𤝠	U+24760
𤟁	U+247C1
鈏	U+920F
鈟	U+921F
𤠘	U+24818
𪻈	U+2AEC8
𩝽	U+2977D
𧴙	U+27D19
峱	U+5CF1
𰴝	U+30D1D
𨐲	U+28432
𮢧	U+2E8A7
𮣅	U+2E8C5
𠜞	U+2071E
猸	U+7338
𬌻	U+2C33B
𫗗	U+2B5D7
鎇	U+9387
𧳬	U+27CEC
𠬪	U+20B2A
𨥁	U+28941
𨫁	U+28AC1
鏹	U+93F9
鏹	U+2F9EB
㹦	U+3E66
䬰	U+4B30
𩚄	U+29684
鉊	U+924A
鐙	U+9419
鐴	U+9434
貂	U+8C82
鈹	U+9239
㿫	U+3FEB
𤿎	U+24FCE
狓	U+72D3
𨧟	U+289DF
釰	U+91F0
䝛	U+475B
𨨮	U+28A2E
𨨻	U+28A3B
𩜧	U+29727
𩞽	U+297BD
𨪅	U+28A85
𭸑	U+2DE11
䬿	U+4B3F
𮢁	U+2E881
釲	U+91F2
𬋶	U+2C2F6
钃	U+9483
𬋹	U+2C2F9
𤕅	U+24545
犯	U+FA9F
𤔰	U+24530
𩛤	U+296E4
銿	U+92BF
𨫤	U+28AE4
𰐕	U+30415
鐨	U+9428
狒	U+72D2
饌	U+994C
𩜹	U+29739
鉘	U+9258
𨩻	U+28A7B
𨯭	U+28BED
㹟	U+3E5F
𩚟	U+2969F
鈌	U+920C
𠑼	U+2047C
𠒂	U+20482
𰠆	U+30806
鈮	U+922E
𩰨	U+29C28
狔	U+72D4
𩚯	U+296AF
䝚	U+475A
鍏	U+934F
𤜫	U+2472B
釵	U+91F5
釼	U+91FC
鈬	U+922C
𮣌	U+2E8CC
䥁	U+4941
𤳿	U+24CFF
𤢈	U+24888
𩞬	U+297AC
𨮴	U+28BB4
𨧻	U+289FB
𤢣	U+248A3
𨪊	U+28A8A
儿	U+513F
⼉	U+2F09
𠚒	U+20692
𨥕	U+28955
𱅀	U+31140
𨬿	U+28B3F
𨫌	U+28ACC
𤠚	U+2481A
銢	U+92A2
𩝥	U+29765
𬫳	U+2CAF3
𬫵	U+2CAF5
𨧬	U+289EC
𨚛	U+2869B
餑	U+9911
𤔇	U+24507
𨫺	U+28AFA
𤜷	U+24737
𰽆	U+30F46
𩚢	U+296A2
𬲘	U+2CC98
𨥛	U+2895B
𨪁	U+28A81
釘	U+91D8
㩺	U+3A7A
𭅣	U+2D163
𰽎	U+30F4E
𠎜	U+2039C
𩔃	U+29503
𢺵	U+22EB5
𬁆	U+2C046
𧡩	U+27869
爰	U+7230
鈘	U+9218
𬫆	U+2CAC6
𤞸	U+247B8
𭷸	U+2DDF8
𰡂	U+30842
𠓰	U+204F0
𠓳	U+204F3
𪞇	U+2A787
飣	U+98E3
𩚡	U+296A1
𮨾	U+2EA3E
𱊒	U+31292
鶢	U+9DA2
𧳔	U+27CD4
𣬊	U+23B0A
𨧾	U+289FE
銒	U+9292
駂	U+99C2
𫓆	U+2B4C6
駂	U+2FA06
𨭹	U+28B79
鉶	U+FAC5
𫓈	U+2B4C8
鎶	U+93B6
𠧀	U+209C0
𤡰	U+24870
𤡶	U+24876
𤡹	U+24879
𬌹	U+2C339
𤜵	U+2F926
𠓞	U+204DE
𠓾	U+204FE
𩝃	U+29743
𩞑	U+29791
𩞳	U+297B3
𩞴	U+297B4
𫗕	U+2B5D5
錱	U+9331
𫓝	U+2B4DD
𨫎	U+28ACE
𧲨	U+2F9D3
鋪	U+92EA
䥮	U+496E
𮢨	U+2E8A8
銭	U+92AD
𨮬	U+28BAC
𨭚	U+28B5A
𮢜	U+2E89C
𤞨	U+247A8
𤡑	U+24851
鏢	U+93E2
餔	U+9914
䬻	U+4B3B
𫗔	U+2B5D4
䥫	U+496B
𨨯	U+28A2F
𫒩	U+2B4A9
𨪠	U+28AA0
𧴋	U+27D0B
釬	U+91EC
𣬂	U+23B02
𨰕	U+28C15
犴	U+72B4
𤢷	U+248B7
飦	U+98E6
𩜙	U+29719
豻	U+8C7B
鐼	U+943C
㺛	U+3E9B
𤞬	U+247AC
𤟨	U+247E8
𬬥	U+2CB25
𩚰	U+296B0
鎛	U+939B
猼	U+733C
𤠫	U+2482B
餺	U+993A
𩝀	U+29740
𩟰	U+297F0
𨫊	U+28ACA
𧳵	U+27CF5
𨭓	U+28B53
𤞿	U+247BF
𨭱	U+28B71
𨩑	U+28A51
狟	U+72DF
𬌸	U+2C338
𮩐	U+2EA50
𬫶	U+2CAF6
𨨇	U+28A07
𨩃	U+28A43
𰼧	U+30F27
貆	U+8C86
鐔	U+9414
𭶬	U+2DDAC
𨯒	U+28BD2
鎷	U+93B7
獁	U+7341
𤞕	U+24795
𰡞	U+3085E
䭍	U+4B4D
𭶭	U+2DDAD
䥊	U+494A
獖	U+7356
㺓	U+3E93
𫒦	U+2B4A6
𬫖	U+2CAD6
𰡓	U+30853
鐚	U+941A
饙	U+9959
𩜄	U+29704
𫗙	U+2B5D9
鎮	U+93AE
錏	U+930F
𧴍	U+27D0D
𮢾	U+2E8BE
鑩	U+9469
𤠙	U+24819
𰙔	U+30654
鐵	U+9435
𩜴	U+29734
𱃬	U+310EC
𩀓	U+29013
𬷤	U+2CDE4
鈳	U+9233
𤔄	U+24504
鐡	U+9421
𨫬	U+28AEC
𨫄	U+28AC4
獓	U+7353
𤡏	U+2484F
𨪥	U+28AA5
鎍	U+938D
鋍	U+92CD
𦫦	U+26AE6
𬋫	U+2C2EB
𨫼	U+28AFC
𩷬	U+29DEC
獉	U+7349
㤮	U+392E
𰡜	U+3085C
饢	U+9962
錶	U+9336
𨪦	U+28AA6
鸨	U+9E28
猜	U+731C
𫛭	U+2B6ED
𰃗	U+300D7
𩜎	U+2970E
錆	U+9306
𨬀	U+28B00
𨗽	U+285FD
𠤤	U+20924
𤠶	U+24836
𨿗	U+28FD7
𩝻	U+2977B
𩟙	U+297D9
針	U+91DD
毕	U+6BD5
𨯪	U+28BEA
𬬓	U+2CB13
鴇	U+9D07
𠤏	U+2090F
𮬰	U+2EB30
鵟	U+9D5F
𠓝	U+204DD
𩝟	U+2975F
𰽃	U+30F43
𬫃	U+2CAC3
𨦊	U+2898A
狂	U+72C2
𤝂	U+24742
𭸌	U+2DE0C
𨦎	U+2898E
𨬩	U+28B29
𩚽	U+296BD
𮩎	U+2EA4E
鈺	U+923A
𫒖	U+2B496
𨩇	U+28A47
𨪲	U+28AB2
䥔	U+4954
𤞏	U+2478F
𤢂	U+24882
𩞸	U+297B8
𨥾	U+2897E
𤑀	U+24440
𧲺	U+27CBA
𨯋	U+28BCB
𬌲	U+2C332
鋹	U+92F9
逛	U+901B
𤟔	U+247D4
𨖢	U+285A2
餦	U+9926
𨨙	U+28A19
𡚃	U+21683
𣤃	U+23903
𨽻	U+28F7B
𰼼	U+30F3C
㹠	U+3E60
𰡅	U+30845
飩	U+98E9
鈍	U+920D
𤞡	U+247A1
𨛊	U+286CA
𬲐	U+2CC90
鋮	U+92EE
鋣	U+92E3
𬑃	U+2C443
𬁀	U+2C040
狘	U+72D8
獠	U+7360
𤠽	U+2483D
𭸡	U+2DE21
䭜	U+4B5C
𩛌	U+296CC
𩝺	U+2977A
鉞	U+925E
䝤	U+4764
釱	U+91F1
𡗮	U+215EE
𡗬	U+215EC
𰁎	U+3004E
𨥔	U+28954
銕	U+9295
𨦘	U+28998
鏗	U+93D7
鑦	U+9466
𣉈	U+23248
𨨘	U+28A18
㹫	U+3E6B
𤝙	U+24759
𩚦	U+296A6
𩜮	U+2972E
𩝮	U+2976E
𫗎	U+2B5CE
鉅	U+9245
𧲽	U+27CBD
𧳗	U+27CD7
𧳾	U+27CFE
𨦍	U+2898D
𢺾	U+22EBE
錛	U+931B
𠤨	U+20928
𣱐	U+23C50
𣱑	U+23C51
錡	U+9321
𬇌	U+2C1CC
𤝿	U+2477F
氒	U+6C12
𨦑	U+28991
𣱋	U+23C4B
錢	U+9322
𥗛	U+255DB
𫆔	U+2B194
𧔢	U+27522
𨪑	U+28A91
𥃒	U+250D2
𨭮	U+28B6E
𫎛	U+2B39B
𬥰	U+2C970
𬇎	U+2C1CE
㹽	U+3E7D
𰡍	U+3084D
錼	U+933C
餞	U+991E
𩜪	U+2972A
𪈇	U+2A207
鈛	U+921B
𨩆	U+28A46
𨦌	U+2898C
𩑾	U+2947E
𤬵	U+24B35
頴	U+9834
𩒠	U+294A0
銙	U+9299
𨨆	U+28A06
𫓛	U+2B4DB
𰽇	U+30F47
𬱤	U+2CC64
𧠟	U+2781F
鍼	U+937C
𢼕	U+22F15
𢦖	U+22996
𬌮	U+2C32E
𬌶	U+2C336
𤇡	U+241E1
𨪎	U+28A8E
𩚧	U+296A7
𨾦	U+28FA6
𣋯	U+232EF
𩑥	U+29465
𧳲	U+27CF2
𮙦	U+2E666
𤯁	U+24BC1
𦕌	U+2654C
𨨹	U+28A39
狨	U+72E8
𤞫	U+247AB
餴	U+9934
𬫍	U+2CACD
𫒞	U+2B49E
釴	U+91F4
𫞕	U+2B795
𬫣	U+2CAE3
鉽	U+927D
𬬌	U+2CB0C
𤞔	U+24794
𠓸	U+204F8
𫎊	U+2B38A
𨦶	U+289B6
𨨲	U+28A32
鍷	U+9377
𰖘	U+30598
狾	U+72FE
㺇	U+3E87
𤠿	U+2483F
𰡔	U+30854
𮩌	U+2EA4C
𭎁	U+2D381
鐐	U+9410
䤷	U+4937
𡝪	U+2176A
𬫴	U+2CAF4
䤶	U+4936
䫒	U+4AD2
𦖞	U+2659E
𠤪	U+2092A
𨦕	U+28995
𨧄	U+289C4
𢽹	U+22F79
𣣏	U+238CF
𰃖	U+300D6
𰠂	U+30802
餣	U+9923
䭙	U+4B59
𩛉	U+296C9
𪉎	U+2A24E
𨿹	U+28FF9
𨥙	U+28959
𪂆	U+2A086
昏	U+660F
𨰶	U+28C36
𨭼	U+28B7C
鏚	U+93DA
𠛊	U+206CA
𠤧	U+20927
𬠛	U+2C81B
𧋗	U+272D7
𧎪	U+273AA
𧐏	U+2740F
𧓢	U+274E2
𧔧	U+27527
𭤉	U+2D909
𨭟	U+28B5F
𧉜	U+2725C
颕	U+9895
帋	U+5E0B
鉔	U+9254
𡑘	U+21458
𨰲	U+28C32
㺝	U+3E9D
𥃗	U+250D7
𩝉	U+29749
𩟏	U+297CF
𫗝	U+2B5DD
𨧇	U+289C7
𨰹	U+28C39
𥛤	U+256E4
𭿌	U+2DFCC
𬡼	U+2C87C
𤣟	U+248DF
𩟲	U+297F2
𥄇	U+25107
𨫓	U+28AD3
𨨅	U+28A05
𩒲	U+294B2
𮣇	U+2E8C7
𠜜	U+2071C
鑎	U+944E
鏂	U+93C2
猗	U+7317
㺂	U+3E82
䥲	U+4972
𤠾	U+2483E
𭸢	U+2DE22
𨮯	U+28BAF
𫓏	U+2B4CF
饇	U+9947
𩝈	U+29748
𪁝	U+2A05D
鉕	U+9255
𠯑	U+20BD1
貙	U+8C99
䝝	U+475D
𨓈	U+284C8
鑑	U+9451
𡼐	U+21F10
鑬	U+946C
𰑭	U+3046D
𨯿	U+28BFF
㲳	U+3CB3
氏	U+6C0F
⽒	U+2F52
𣢸	U+238B8
𣢾	U+238BE
𣪑	U+23A91
𣢎	U+2388E
𬥍	U+2C94D
𮂄	U+2E084
𨦬	U+289AC
𨮕	U+28B95
𩞿	U+297BF
𰓅	U+304C5
𣱎	U+23C4E
鋱	U+92F1
𢗪	U+225EA
𨥮	U+2896E
𥘈	U+25608
狋	U+72CB
𩚪	U+296AA
𩟄	U+297C4
𤓻	U+244FB
𪟩	U+2A7E9
𠓷	U+204F7
鏯	U+93EF
𨫻	U+28AFB
𨾛	U+28F9B
䝙	U+4759
𧴅	U+27D05
夅	U+5905
𡕖	U+21556
䥟	U+495F
䲭	U+4CAD
狹	U+72F9
𠓵	U+204F5
𩛩	U+296E9
鋏	U+92CF
𬇊	U+2C1CA
𥜂	U+25702
鐕	U+9415
鐕	U+2F9EC
𩜚	U+2971A
龯	U+9FAF
邸	U+90B8
𬇉	U+2C1C9
𣱒	U+23C52
㪆	U+3A86
𤝁	U+24741
𤞉	U+24789
𭸀	U+2DE00
鸱	U+9E31
𮨹	U+2EA39
氐	U+6C10
鈦	U+9226
銊	U+928A
鴟	U+9D1F
䢑	U+4891
𨭁	U+28B41
𬋯	U+2C2EF
𡚘	U+21698
𤢙	U+24899
𬫇	U+2CAC7
釾	U+91FE
𬁌	U+2C04C
犽	U+72BD
逄	U+9004
𫑁	U+2B441
𬌵	U+2C335
印	U+5370
𦥒	U+26952
𭑑	U+2D451
𣻯	U+23EEF
𤔒	U+24512
銍	U+928D
𢂗	U+22097
鐝	U+941D
𤝃	U+24743
𪞶	U+2A7B6
𩚞	U+2969E
𭶷	U+2DDB7
𨒦	U+284A6
鈈	U+9208
𤜸	U+24738
𨞤	U+287A4
䬪	U+4B2A
𩚚	U+2969A
鈪	U+922A
𮡤	U+2E864
鋞	U+92DE
𫬯	U+2BB2F
𬫂	U+2CAC2
獂	U+7342
𤠃	U+24803
兪	U+516A
𬲗	U+2CC97
𨿁	U+28FC1
𤓳	U+244F3
䝠	U+4760
𮣀	U+2E8C0
鋙	U+92D9
飯	U+FA2A
𮡨	U+2E868
𨮮	U+28BAE
𤟯	U+247EF
𭸄	U+2DE04
𫗖	U+2B5D6
𱃦	U+310E6
銔	U+9294
𨭫	U+28B6B
𨨰	U+28A30
錻	U+933B
𨫮	U+28AEE
𤟦	U+247E6
𫞣	U+2B7A3
餪	U+992A
𬲚	U+2CC9A
𨦄	U+28984
𨨵	U+28A35
𮢃	U+2E883
𮣟	U+2E8DF
狉	U+72C9
𤝌	U+2474C
𤡤	U+24864
𤢋	U+2488B
𤢿	U+248BF
䬧	U+4B27
𩚼	U+296BC
𩞪	U+297AA
𩟬	U+297EC
鉟	U+925F
鈨	U+9228
𨰖	U+28C16
豾	U+8C7E
𧲦	U+27CA6
𧴓	U+27D13
𨦹	U+289B9
䥄	U+4944
𨯅	U+28BC5
鉶	U+9276
𤜵	U+24735
𤢫	U+248AB
𠓡	U+204E1
䤯	U+492F
鈃	U+9203
𧲨	U+27CA8
鎒	U+9392
𮣙	U+2E8D9
𬫢	U+2CAE2
𧸶	U+27E36
㹵	U+3E75
𤞈	U+24788
𬌽	U+2C33D
𭁁	U+2D041
𭁂	U+2D042
𭁃	U+2D043
𱃡	U+310E1
釪	U+91EA
釫	U+91EB
𤞂	U+24782
𪺾	U+2AEBE
䬹	U+4B39
𱃢	U+310E2
𣂭	U+230AD
𨩿	U+28A7F
𬫭	U+2CAED
㹮	U+3E6E
𤡼	U+2487C
𤢵	U+248B5
𠓤	U+204E4
𨫍	U+28ACD
𩜰	U+29730
𮩖	U+2EA56
𫒝	U+2B49D
銆	U+9286
貊	U+8C8A
𨦙	U+28999
𧓟	U+274DF
𮢙	U+2E899
㺡	U+3EA1
𤞊	U+2478A
𤟃	U+247C3
𤟷	U+247F7
𠓥	U+204E5
𩚫	U+296AB
𱃥	U+310E5
𰽊	U+30F4A
鉦	U+9266
𧴠	U+27D20
𬨶	U+2CA36
顷	U+9877
𨥚	U+2895A
𨥳	U+28973
犻	U+72BB
𤜳	U+24733
𤠅	U+24805
𬲌	U+2CC8C
鈵	U+9235
𬥈	U+2C948
鋠	U+92E0
𬫿	U+2CAFF
𪺼	U+2AEBC
𥄤	U+25124
𨬜	U+28B1C
𮢩	U+2E8A9
鏄	U+93C4
鍢	U+9362
㹳	U+3E73
𤞜	U+2479C
鏸	U+93F8
𠓮	U+204EE
𩛷	U+296F7
𨧆	U+289C6
𬫷	U+2CAF7
鋀	U+92C0
𭐞	U+2D41E
𧳎	U+27CCE
𧳏	U+27CCF
𤢉	U+24889
㚅	U+3685
𩛫	U+296EB
𢃵	U+220F5
獗	U+7357
𣢔	U+23894
𣤏	U+2390F
𮣞	U+2E8DE
𠨝	U+20A1D
䤺	U+493A
𨮭	U+28BAD
䥶	U+4976
𤡫	U+2486B
愈	U+FA88
䥳	U+4973
𢤧	U+22927
𰒖	U+30496
𪺏	U+2AE8F
𰋎	U+302CE
𤞱	U+247B1
𭸔	U+2DE14
𭵙	U+2DD59
𩛭	U+296ED
䥎	U+494E
𮍈	U+2E348
㹬	U+3E6C
㹴	U+3E74
𮩂	U+2EA42
𧳅	U+27CC5
𨦖	U+28996
𨪛	U+28A9B
𤔹	U+24539
𪅊	U+2A14A
𤜚	U+2471A
𠓛	U+204DB
𩛄	U+296C4
鉐	U+9250
毙	U+6BD9
𠂩	U+200A9
獶	U+7376
獿	U+737F
𠃤	U+200E4
𨨄	U+28A04
𠤐	U+20910
𩚌	U+2968C
𨧧	U+289E7
𨰣	U+28C23
𤔳	U+24533
鋄	U+92C4
𨧴	U+289F4
𨯲	U+28BF2
鎘	U+9398
𤞟	U+2479F
𢮣	U+22BA3
餖	U+9916
錽	U+933D
𨪳	U+28AB3
𨪘	U+28A98
顉	U+9849
𫖝	U+2B59D
頃	U+9803
𩝗	U+29757
𫓅	U+2B4C5
䫉	U+4AC9
𠭧	U+20B67
𨖡	U+285A1
𮟂	U+2E7C2
𩞈	U+29788
𨘷	U+28637
𮢄	U+2E884
鑶	U+9476
鈜	U+921C
𨬘	U+28B18
𨰤	U+28C24
𨫲	U+28AF2
鑉	U+9449
㺦	U+3EA6
𤞐	U+24790
鎁	U+9381
𫓀	U+2B4C0
獦	U+7366
𤞽	U+247BD
𨰂	U+28C02
𩛲	U+296F2
𩜝	U+2971D
𩜱	U+29731
𨰑	U+28C11
𮢈	U+2E888
銸	U+92B8
鍖	U+9356
𨥃	U+28943
𨨈	U+28A08
𨨭	U+28A2D
鐂	U+9402
鋷	U+92F7
鍣	U+9363
𰇂	U+301C2
獲	U+7372
𬬒	U+2CB12
𩟓	U+297D3
鈸	U+9238
𬫗	U+2CAD7
鈸	U+2F9E7
𫎍	U+2B38D
鉺	U+927A
𨯛	U+28BDB
𨭯	U+28B6F
鉗	U+9257
𨯱	U+28BF1
鏵	U+93F5
鑮	U+946E
䥬	U+496C
𠤔	U+20914
𨪀	U+28A80
𤞢	U+247A2
𬌯	U+2C32F
𮢞	U+2E89E
𦔵	U+26535
餌	U+990C
饉	U+9949
𩚵	U+296B5
𩟢	U+297E2
𮢽	U+2E8BD
𨦰	U+289B0
𮣔	U+2E8D4
獏	U+734F
𤠉	U+24809
𤢑	U+24891
𭸙	U+2DE19
饃	U+9943
䭊	U+4B4A
鑖	U+9456
𬫯	U+2CAEF
